-0.443relationship=Husband-0.442marital-status=Married-civ-spouse+0.335marital-status=Never-married+0.289sex-0.24age...,'0.48 native-country=United-States+0.401race=White-0.4race=Asian-Pac-Islander-0.225native-country=Philippines-0.19race=Black...',-0.324workclass=Private+0.286age+0.275marital-status=Divorced-0.258relationship=Own-child+0.253sex...,0.357education-num+0.313marital-status=Never-married+0.299race=Asian-Pac-Islander-0.274relationship=Unmarried+0.252relationship=Own-child...,'-0.51race=Black+0.405race=White-0.351native-country=United-States+0.28 relationship=Not-in-family+0.186native-country=Mexico...',0.482workclass=Private-0.337workclass=Self-emp-not-inc-0.3occupation=Farming-fishing-0.24workclass=Local-gov+0.228relationship=Wife...,-0.465relationship=Wife+0.367relationship=Not-in-family+0.299hours-per-week-0.299sex+0.213marital-status=Divorced...,0.374workclass=Self-emp-not-inc+0.312occupation=Farming-fishing-0.285occupation=Prof-specialty-0.285fnlwgt+0.256race=Asian-Pac-Islander...,0.382occupation=Exec-managerial+0.345workclass=Self-emp-inc+0.282occupation=Sales-0.277workclass=Local-gov-0.24occupation=Protective-serv...,0.434occupation=Adm-clerical-0.413occupation=Prof-specialty+0.337workclass=Federal-gov-0.246marital-status=Widowed-0.22workclass=Self-emp-not-inc...,0.386relationship=Unmarried-0.313relationship=Not-in-family-0.3relationship=Wife+0.256occupation=Sales+0.237marital-status=Separated...,0.396occupation=Priv-house-serv+0.293marital-status=Widowed+0.278native-country=Guatemala+0.267occupation=Exec-managerial-0.245occupation=Prof-specialty...,-0.48race=Other-0.328native-country=Dominican-Republic+0.197relationship=Wife+0.189occupation=Other-service-0.177workclass=Federal-gov...,-0.411occupation=Other-service-0.264race=Other+0.256occupation=Priv-house-serv-0.238occupation=Exec-managerial+0.235workclass=Federal-gov...,'0.354occupation=Sales+0.276occupation=Protective-serv-0.249workclass=Federal-gov-0.238occupation=Other-service+0.23 relationship=Other-relative...',-0.447occupation=Craft-repair+0.416occupation=Machine-op-inspct-0.233occupation=Priv-house-serv-0.225occupation=Sales-0.224native-country=Guatemala...,0.404relationship=Other-relative-0.282occupation=Sales+0.257occupation=Handlers-cleaners-0.249occupation=Transport-moving+0.231occupation=Exec-managerial...,0.337marital-status=Married-spouse-absent-0.257occupation=Tech-support-0.234capital-loss-0.224occupation=Priv-house-serv+0.213occupation=Sales...,0.372capital-loss-0.271capital-gain+0.267native-country=Holand-Netherlands+0.266relationship=Other-relative+0.224workclass=State-gov...,0.467occupation=Transport-moving-0.374occupation=Craft-repair-0.283occupation=Machine-op-inspct+0.276marital-status=Married-spouse-absent+0.224occupation=Handlers-cleaners...,'0.492workclass=State-gov-0.291race=Amer-Indian-Eskimo+0.23 marital-status=Separated-0.226workclass=Local-gov-0.222occupation=Handlers-cleaners...',0.329race=Amer-Indian-Eskimo+0.306capital-loss+0.292native-country=Holand-Netherlands-0.282occupation=Tech-support+0.234occupation=Machine-op-inspct...,'-0.439marital-status=Separated+0.27 workclass=State-gov+0.254native-country=Haiti-0.225capital-loss-0.21fnlwgt...',0.531occupation=Tech-support-0.287occupation=Transport-moving+0.254native-country=Hong+0.247native-country=Germany+0.222race=Amer-Indian-Eskimo...,'0.321occupation=Armed-Forces-0.263marital-status=Widowed+0.241native-country=Haiti+0.23 occupation=Machine-op-inspct-0.216occupation=Adm-clerical...',incomegroup
0.737027,0.930341,0.455901,0.490607,0.453343,0.637817,0.573676,0.458114,0.475878,0.394196,0.471357,0.290822,0.656958,0.484914,0.400628,0.394222,0.340813,0.677935,0.150526,0.600189,0.658169,0.136858,0.620558,0.418081,0.26414,0
0.716814,0.912507,0.29895,0.578416,0.349709,0.622071,0.50327,0.426315,0.501942,0.419514,0.576344,0.2698,0.641333,0.525674,0.384961,0.399036,0.364189,0.669175,0.145366,0.595014,0.680325,0.125471,0.609187,0.38979,0.255597,0
0.21979,0.855327,0.568966,0.520637,0.321748,0.537506,0.494689,0.350488,0.383852,0.38026,0.624039,0.307514,0.646212,0.485676,0.413642,0.386926,0.37924,0.638542,0.159694,0.577035,0.594614,0.088913,0.573019,0.526891,0.27813,0
0.474864,0.913342,0.557996,0.356448,0.516576,0.631016,0.770401,0.452463,0.374941,0.326065,0.538077,0.283427,0.660799,0.463514,0.377003,0.344744,0.375019,0.670593,0.158759,0.533034,0.598342,0.132051,0.642659,0.413443,0.280365,0
0.511066,0.903414,0.298602,0.522408,0.403532,0.607619,0.646541,0.449521,0.494769,0.316121,0.617467,0.292423,0.628905,0.49392,0.348929,0.362818,0.398277,0.692479,0.117216,0.512667,0.609517,0.136166,0.660196,0.409813,0.299231,1
0.31687,0.838215,0.315072,0.441843,0.372865,0.667239,0.571225,0.4942,0.50597,0.295124,0.643718,0.298791,0.630462,0.495955,0.424643,0.375579,0.324804,0.684731,0.170534,0.592662,0.627163,0.126448,0.60232,0.449761,0.302384,1
0.226124,0.847043,0.456858,0.470744,0.404678,0.689762,0.594785,0.423127,0.532427,0.332992,0.594788,0.333958,0.64937,0.442424,0.371252,0.420084,0.409354,0.664484,0.146071,0.605884,0.637768,0.132722,0.600093,0.425838,0.281901,0
0.708274,0.818884,0.406804,0.361038,0.526585,0.580321,0.605432,0.46835,0.487659,0.255986,0.542353,0.26572,0.598737,0.468067,0.439051,0.34831,0.362887,0.768581,0.169595,0.690747,0.697332,0.153912,0.5971,0.423972,0.362082,0
0.627306,0.921278,0.339941,0.618643,0.386739,0.623274,0.543222,0.380656,0.4563,0.257876,0.625334,0.261207,0.628282,0.511621,0.374657,0.414383,0.384396,0.659795,0.144466,0.582759,0.633556,0.131386,0.599758,0.40135,0.28829,0
0.661666,0.722236,0.597154,0.411481,0.183096,0.630077,0.798846,0.341545,0.532143,0.288636,0.571745,0.237034,0.654936,0.467412,0.373983,0.390541,0.390439,0.636216,0.15966,0.556544,0.696746,0.113246,0.465442,0.572502,0.285569,0
0.800867,0.627135,0.469257,0.716101,0.328054,0.729481,0.578536,0.575482,0.456127,0.429561,0.562501,0.285392,0.630117,0.494895,0.398828,0.397936,0.361737,0.664384,0.140535,0.594265,0.663075,0.134621,0.618735,0.396929,0.264702,0
0.322991,0.651065,0.421014,0.412751,0.093883,0.61998,0.731631,0.343325,0.531656,0.283243,0.544289,0.301562,0.66674,0.495135,0.402974,0.403474,0.333988,0.667928,0.13423,0.671688,0.633779,0.098212,0.568446,0.374686,0.318796,1
0.620017,0.56511,0.450207,0.350948,0.2569,0.368494,0.672046,0.483728,0.55234,0.168365,0.410746,0.22476,0.61018,0.517839,0.452957,0.402837,0.567188,0.729655,0.158236,0.728695,0.685734,0.142349,0.643187,0.416437,0.344586,0
