age,workclass=Private,workclass=Government,workclass=Self-emp-inc,workclass=Self-emp-not-inc,workclass=No-pay-or-work,fnlwgt,education-num,marital-status=Married-civ-spouse,marital-status=Never-married,marital-status=Divorced-or-spouse-absent,marital-status=Separated-Widowed,marital-status=Married-AF-spouse,occupation=service-cleaners,occupation=Prof-specialty,occupation=Craft-repair,occupation=Exec-managerial,occupation=Adm-clerical-Machine,occupation=Sales,occupation=Protective-serv,occupation=Farming-fishing,occupation=Tech-support,occupation=Transport-moving,relationship=Wife-Husband,relationship=Other-relative-or-Unmarried,relationship=Own-child,relationship=Not-in-family,race=Other,race=White,race=Asian-Pac-Islander,sex,capital-gain,capital-loss,hours-per-week,native-country=United-States,native-country=CountryGroup1,native-country=Mexico,native-country=CountryGroup2,native-country=CountryGroup3,native-country=CountryGroup4,incomegroup
0,1,0,0,0,0,0.010905,0.6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.5,1,0,0,0,0,0,0
0,1,0,0,0,0,0.211992,0.8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.25,1,0,0,0,0,0,0
0.75,0,1,0,0,0,0.151419,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.5,1,0,0,0,0,0,0
1,1,0,0,0,0,0.008802,0.8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.5,1,0,0,0,0,0,0
0.5,1,0,0,0,0,0.036675,0.533333,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.75,1,0,0,0,0,0,1
0.25,1,0,0,0,0,0.021773,0.533333,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.5,1,0,0,0,0,0,1
0.75,1,0,0,0,0,0.041396,0.866667,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.5,1,0,0,0,0,0,0
0,1,0,0,0,0,0.077344,0.266667,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.25,1,0,0,0,0,0,0
0.25,1,0,0,0,0,0.13182,0.8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.5,1,0,0,0,0,0,0
0.25,1,0,0,0,0,0.106054,0.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0.5,1,0,0,0,0,0,0
0,1,0,0,0,0,0.038124,0.8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0.5,1,0,0,0,0,0,0
0.25,1,0,0,0,0,0.201105,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0.5,0,0.75,1,0,0,0,0,0,1
