age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,incomegroup
4,Private,33619,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,0,United-States,<=50K
0,Private,184303,7th-8th,4,Never-married,Priv-house-serv,Other-relative,White,Female,0,0,2,Guatemala,<=50K
0,Private,96483,HS-grad,9,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,?,0,2,United-States,<=50K
3,Local-gov,249289,Bachelors,13,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,2,United-States,<=50K
2,Private,110713,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,>50K
2,Private,152307,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,2,United-States,>50K
2,Private,103980,Some-college,10,Divorced,Prof-specialty,Own-child,White,Male,1,0,1,United-States,<=50K
1,Private,382368,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
4,?,76571,10th,6,Married-civ-spouse,?,Husband,White,Male,0,0,?,United-States,<=50K
0,Private,305446,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,2,United-States,<=50K
4,Federal-gov,139290,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,>50K
2,Self-emp-inc,139916,Assoc-voc,11,Married-civ-spouse,Sales,Husband,Other,Male,0,3,4,Mexico,<=50K
?,Private,282549,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,1,0,2,United-States,<=50K
3,Private,95388,Some-college,10,Never-married,Exec-managerial,Not-in-family,Black,Female,0,0,2,United-States,<=50K
1,Private,199046,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,193650,11th,7,Divorced,Other-service,Not-in-family,White,Female,?,0,2,United-States,<=50K
2,Private,188540,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,2,United-States,<=50K
4,Self-emp-not-inc,156797,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,4,0,3,United-States,>50K
3,Federal-gov,88564,7th-8th,4,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Male,0,0,?,United-States,<=50K
3,Local-gov,149700,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,0,1,United-States,>50K
1,Self-emp-inc,237713,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,>50K
3,Private,164857,Some-college,10,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,2,United-States,<=50K
4,Private,102874,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,1,United-States,<=50K
0,Private,174478,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,?,United-States,<=50K
0,Private,331552,12th,8,Never-married,Adm-clerical,Own-child,White,Female,0,0,1,United-States,<=50K
3,Local-gov,238162,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,2,3,United-States,>50K
1,State-gov,292317,9th,5,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,2,United-States,<=50K
4,Self-emp-inc,107617,HS-grad,9,Separated,Farming-fishing,Not-in-family,White,Male,0,0,3,United-States,>50K
1,Private,203488,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,>50K
0,?,138153,Some-college,10,Never-married,?,Own-child,White,Female,0,0,0,United-States,<=50K
1,Private,118161,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,206008,Assoc-acdm,12,Never-married,Prof-specialty,Own-child,Black,Male,0,0,0,United-States,<=50K
?,Self-emp-inc,120796,9th,5,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
4,Private,208431,Some-college,10,Widowed,Exec-managerial,Not-in-family,Black,Female,0,0,1,United-States,<=50K
2,Private,380922,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,>50K
4,Private,204113,HS-grad,9,Widowed,Protective-serv,Not-in-family,White,Female,3,0,0,United-States,<=50K
1,Private,129629,Assoc-voc,11,Never-married,Tech-support,Other-relative,White,Female,0,0,2,United-States,<=50K
4,Private,177791,10th,6,Divorced,Other-service,Own-child,White,Female,0,0,2,United-States,<=50K
3,Private,256908,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,1,United-States,>50K
0,Private,302712,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,1,United-States,<=50K
0,Private,198244,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
3,Private,158825,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,4,0,2,United-States,>50K
1,Private,149507,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,2,United-States,<=50K
1,Private,114691,11th,7,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,Ireland,<=50K
1,Private,283767,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,?,<=50K
1,Private,459548,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,0,Mexico,<=50K
4,Self-emp-not-inc,71807,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,0,3,?,>50K
4,Self-emp-not-inc,89011,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,Canada,<=50K
4,Private,149950,HS-grad,9,Widowed,Priv-house-serv,Unmarried,White,Female,0,0,0,United-States,<=50K
1,Local-gov,303485,Some-college,10,Never-married,Transport-moving,Unmarried,Black,Female,0,0,2,United-States,<=50K
0,Private,236977,HS-grad,9,Separated,Craft-repair,Own-child,White,Male,0,0,2,Mexico,<=50K
0,Private,127159,Some-college,10,Never-married,Other-service,Other-relative,White,Female,0,0,1,?,<=50K
3,Private,168956,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
